Poem_Index,Title,Author,URL,Content,A,B,C,Translation
1,黄鹤楼送孟浩然之广陵,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_d3f231047aef.aspx,"故人西辞黄鹤楼，烟花三月下扬州。
孤帆远影碧空尽，唯见长江天际流。 (唯 通：惟)",酬张少府,黄鹤楼,赠孟浩然,友人在黄鹤楼与我辞别，在柳絮如烟、繁花似锦的阳春三月去扬州远游。孤船帆影渐渐消失在碧空尽头，只看见滚滚长江向天际奔流。
2,黄鹤楼,崔颢 〔唐代〕,https://www.gushiwen.cn/shiwenv_b0d3f72465ef.aspx,"昔人已乘黄鹤去，此地空余黄鹤楼。
黄鹤一去不复返，白云千载空悠悠。
晴川历历汉阳树，芳草萋萋鹦鹉洲。
日暮乡关何处是？烟波江上使人愁。",蜀道难,黄鹤楼送孟浩然之广陵,送方外上人,过去的仙人已经驾着黄鹤飞走了，只留下空荡荡的黄鹤楼。黄鹤一去再也没有回来，千百年来只看见白云在天上飘飘荡荡。阳光照耀下的汉阳树木清晰可见，更能看清芳草繁茂的鹦鹉洲。暮色渐渐漫起，哪里是我的家乡？江面烟波渺渺让人更生烦愁。
3,鹿柴,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_e9b1a8b4def0.aspx,"空山不见人，但闻人语响。
返景入深林，复照青苔上。",溪居,夜归鹿门山歌,竹里馆,幽静的山谷里看不见人，只听到人说话的声音。落日余光映入了深林，又照在幽暗处的青苔上。
4,马嵬坡,郑畋 〔唐代〕,https://www.gushiwen.cn/shiwenv_a37f1f8335f9.aspx,"玄宗回马杨妃死，云雨难忘日月新。(难忘 一作：虽忘)
终是圣明天子事，景阳宫井又何人。",宣州谢朓楼饯别校书叔云,送别·下马饮君酒,塞下曲·饮马渡秋水,杨妃死后玄宗銮驾又回帝京，夫妻之间的恩爱虽难忘却，而国家却已一新。处死杨妃也是玄宗英明决策，不然就会步陈后主亡国后尘。
5,饯别王十一南游,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_af61db719e9b.aspx,"望君烟水阔，挥手泪沾巾。
飞鸟没何处，青山空向人。
长江一帆远，落日五湖春。
谁见汀洲上，相思愁白蘋。",送友人,和晋陵陆丞早春游望,利州南渡,望着你的小船驶向茫茫云水，频频挥手惜别泪水沾湿佩巾。你像一只飞鸟不知归宿何处，留下这一片青山空对着行人。江水浩浩一叶孤帆远远消失，落日下你将欣赏着五湖之美。谁能见我伫立汀洲上怀念你，望着白蘋心中充满无限愁情。
6,风雨,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_9fe305a09b2a.aspx,"凄凉宝剑篇，羁泊欲穷年。
黄叶仍风雨，青楼自管弦。
新知遭薄俗，旧好隔良缘。
心断新丰酒，销愁斗几千。",旅宿,夜雨寄北,无题·飒飒东风细雨来,我虽有《宝剑篇》那样充满豪气的诗篇，但却不遇明主，长期羁旅在外虚度华年。枯败的黄叶仍旧被风雨摧残，富贵人家还在轻歌曼舞，演奏着急管繁弦。新交的朋友遭到浅薄世俗的非难，故旧日的老友又因层层阻隔而疏远无缘。心中失意绝望，要用新丰美酒来销愁解闷，管它价钱是十千还是八千。
7,题金陵渡,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_0bd46ccf1b16.aspx,"金陵津渡小山楼，一宿行人自可愁。
潮落夜江斜月里，两三星火是瓜洲。",次北固山下,登金陵凤凰台,金陵酒肆留别,夜晚宿在金陵渡口的小山楼，辗转难眠心中满怀旅愁。落潮的夜江浸在斜月的光照里，远处几点星火闪烁的地方便是瓜洲。
8,题破山寺后禅院,常建 〔唐代〕,https://www.gushiwen.cn/shiwenv_e2890c61279c.aspx,"清晨入古寺，初日照高林。
曲径通幽处，禅房花木深。(曲 一作：竹)
山光悦鸟性，潭影空人心。
万籁此都寂，但余钟磬音。(都寂 一作：俱寂；但余 一作：惟余)",宣州谢朓楼饯别校书叔云,过香积寺,同从弟南斋玩月忆山阴崔少府,清晨我进入这古老寺院，初升的太阳照在山林上。弯弯曲曲的小路通向幽深处，禅房掩映在繁茂的花木丛中。山中明媚景色使飞鸟更加欢悦，潭水空明清澈，临潭照影，令人俗念全消。此时此刻万物都沉默静寂，只留下了敲钟击磬的声音。
9,题大庾岭北驿,宋之问 〔唐代〕,https://www.gushiwen.cn/shiwenv_f2457a3f0cc0.aspx,"阳月南飞雁，传闻至此回。
我行殊未已，何日复归来。
江静潮初落，林昏瘴不开。
明朝望乡处，应见陇头梅。",章台夜思,秋日赴阙题潼关驿楼,秋日登吴公台上寺远眺,十月份的时候大雁就开始南飞，据说飞到大庾岭，它们就全部折回。我还未到达目的地，还要继续前行，真不知什么时候我才能再次归来？潮水退落了，江面静静地泛着涟漪，深山林中昏暗，瘴气浓重散不开。来日我登上高山顶，向北遥望故乡，应该能看到那山头上初放的红梅。
10,章台夜思,韦庄 〔唐代〕,https://www.gushiwen.cn/shiwenv_885999023597.aspx,"清瑟怨遥夜，绕弦风雨哀。
孤灯闻楚角，残月下章台。
芳草已云暮，故人殊未来。
乡书不可寄，秋雁又南回。",望月怀远,静夜思,宣州谢朓楼饯别校书叔云,凄清的瑟声，在长夜发出哀怨的音调；而伴随这哀怨乐曲的，又是秋夜悲鸣的风雨声。孤灯下，又听见楚角声哀，清冷的残月徐徐沉下章台。芳草渐渐枯萎，已到生命尽头.亲人故友，从未来此地。鸿雁已往南飞，家书不能寄回。
11,韩碑,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_7c8b773e0ca1.aspx,"元和天子神武姿，彼何人哉轩与羲。
誓将上雪列圣耻，坐法宫中朝四夷。
淮西有贼五十载，封狼生貙貙生罴。
不据山河据平地，长戈利矛日可麾。
帝得圣相相曰度，贼斫不死神扶持。
腰悬相印作都统，阴风惨澹天王旗。
愬武古通作牙爪，仪曹外郎载笔随。
行军司马智且勇，十四万众犹虎貔。
入蔡缚贼献太庙，功无与让恩不訾。
帝曰汝度功第一，汝从事愈宜为辞。
愈拜稽首蹈且舞，金石刻画臣能为。
古者世称大手笔，此事不系于职司。
当仁自古有不让，言讫屡颔天子颐。
公退斋戒坐小阁，濡染大笔何淋漓。
点窜《尧典》《舜典》字，涂改《清庙》《生民》诗。
文成破体书在纸，清晨再拜铺丹墀。
表曰臣愈昧死上，咏神圣功书之碑。
碑高三丈字如斗，负以灵鳌蟠以螭。
句奇语重喻者少，谗之天子言其私。
长绳百尺拽碑倒，粗砂大石相磨治。
公之斯文若元气，先时已入人肝脾。
汤盘孔鼎有述作，今无其器存其辞。
呜呼圣王及圣相，相与烜赫流淳熙。
公之斯文不示后，曷与三五相攀追。
愿书万本诵万遍，口角流沫右手胝。
传之七十有二代，以为封禅玉检明堂基。",琵琶行,寄韩谏议注,石鼓歌,"元和天子禀赋神武英姿，可比古来的轩辕、伏羲。他立誓要洗雪历代圣王的耻辱，坐镇皇宫接受四夷的贡礼。淮西逆贼为祸五十年，割据一方世代绵延。自恃强大，不去占山河却来割据平地；梦想挥戈退日，胆敢反叛作乱。
圣君得到贤相名叫裴度，逆贼暗杀未成，自有神灵卫护。他腰悬相印，统兵上战场，天子的军旗在寒风中飘扬。得力的将官有、武、古、通，仪曹外郎任书记随军出征；还有那智勇双全的行军司马韩愈，十四万大军，龙腾虎跃陷阵冲锋。攻下了蔡州，擒住叛贼献俘太庙，功业盖世皇上加恩无限；天子宣布裴度功劳第一，命令韩愈撰写赞辞。
韩愈在朝堂拜舞行礼接受诏命说歌功的文章他能够胜任。从来撰述都推崇大手笔，此事本不属佐吏的职司；既然自古有当仁不让的箴言，韩愈欣然领受圣上的旨意。天子听完这番言辞，频频点头大加赞许。韩公退朝后斋戒沐浴坐于小阁，笔蘸饱墨挥洒淋漓。推敲《尧典》《舜典》的古奥文字，化用《清庙》《生民》的庄严笔意。一纸雄文，别具一格，朝拜时铺展在玉陛丹墀。上表说“臣韩愈冒死呈览”，歌颂圣君贤相的功业，刻写在石碑之上。
碑高三丈字大如斗，灵鳌驼负，螭龙盘围。文句奇特语意深长，世俗难以理解；有人便向皇上进谗，诬蔑此文偏私失实。百尺长绳把韩碑拽倒，粗砂大石磨去了字迹。韩公此文浩浩真气却无法磨灭，已经深入众人的肝脾；正象那汤盘孔鼎的铭文，古器虽早就荡然无存，世间却永远流传着文辞。啊，圣王与贤相的不朽功勋，显耀人寰辉煌无比。韩公碑文倘不能昭示百代，宪宗的帝业，又怎得与三皇五帝遥相承继！我甘愿抄写一万本、吟诵一万遍，哪怕是我口角流沫，右手磨出茧皮！让它流传千秋万代，好作封禅的祭天玉检、明堂的万世基石。"
12,韦讽录事宅观曹将军画马图,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_7c47313a3245.aspx,"国初已来画鞍马，神妙独数江都王。
将军得名三十载，人间又见真乘黄。
曾貌先帝照夜白，龙池十日飞霹雳。
内府殷红玛瑙盘，婕妤传诏才人索。
盘赐将军拜舞归，轻纨细绮相追飞。
贵戚权门得笔迹，始觉屏障生光辉。
昔日太宗拳毛騧，近时郭家狮子花。
今之新图有二马，复令识者久叹嗟。
此皆骑战一敌万，缟素漠漠开风沙。
其余七匹亦殊绝，迥若寒空动烟雪。
霜蹄蹴踏长楸间，马官厮养森成列。
可怜九马争神骏，顾视清高气深稳。
借问苦心爱者谁，后有韦讽前支遁。
忆昔巡幸新丰宫，翠华拂天来向东。
腾骧磊落三万匹，皆与此图筋骨同。
自从献宝朝河宗，无复射蛟江水中。
君不见金粟堆前松柏里，龙媒去尽鸟呼风。",丹青引赠曹将军霸,将进酒,长恨歌,"开国以来善画鞍马的画家中，画技最精妙传神只数江都王。
曹将军画马出名已有三十载，人间又见古代真正神马“乘黄”。
他曾描绘玄宗先帝的“照夜白”，画得象池龙腾飞十日声如雷。
皇宫内库珍藏的殷红玛瑙盘，婕妤传下御旨才人将它取来。
将军接受赐盘叩拜皇恩回归，轻纨细绮相继赐来快速如飞。
贵戚们谁得到曹将军亲笔迹，谁就觉得府第屏障增加光辉。
当年唐太宗著名宝马“拳毛?”。近代郭子仪家中好驹“狮子花”。
而今新画之中就有这两匹马，使得识马的人久久感慨赞夸。
这都是战骑以一胜万的好马，展开画绢如见奔马扬起风沙。
其余七匹也都是特殊而奇绝，远远看去象寒空中飘动烟雪。
霜蹄骏马蹴踏在长楸大道间，专职马倌和役卒肃立排成列。
可爱的九匹马神姿争俊竞雄，昂首阔视显得高雅深沉稳重。
请问有谁真心喜爱神姿骏马？后世韦讽前代支遁名传天下。
想当年玄宗皇上巡幸新丰宫，车驾上羽旗拂天浩荡朝向东。
腾飞跳跃精良好马有三万匹，匹匹与画图中马的筋骨雷同。
譬如河宗献宝之后穆王归天，唐玄宗再也不能去射蛟江中。
你没看见金粟堆前松柏林里，良马去尽徒见林鸟啼雨呼风。"
13,静夜思,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_c35a60c1a8e2.aspx,"床前明月光，疑是地上霜。
举头望明月，低头思故乡。",望月怀远,章台夜思,宣州谢朓楼饯别校书叔云,明亮的月光洒在床前，好像地上泛起了一层白霜。我抬起头来，看那天窗外空中的明月，不由得低头沉思，想起远方的家乡。
14,青溪,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_3ca53d3dfb52.aspx,"言入黄花川，每逐青溪水。
随山将万转，趣途无百里。
声喧乱石中，色静深松里。
漾漾泛菱荇，澄澄映葭苇。
我心素已闲，清川澹如此。
请留磐石上，垂钓将已矣。(磐石 一作：盘石)",同从弟南斋玩月忆山阴崔少府,北青萝,寻西山隐者不遇,进入黄花川游览，每每都去追逐那条青溪。溪水随着山势，百转千回，经过的路途，却不足百里。水声在山间乱石中喧嚣，山色在深密的松林里幽静深沉。水草在溪水中轻轻摇荡，芦苇清晰地倒映在碧水之中。我的心一向悠闲，如同清澈的溪水淡泊安宁。但愿我能留在溪边的盘石上，在垂钓中度过我的一生。
15,集灵台·其二,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_b7ffdd67f154.aspx,"虢国夫人承主恩，平明骑马入宫门。
却嫌脂粉污颜色，淡扫蛾眉朝至尊。",至德二载甫自京金光门出间道归凤翔乾元初从左拾遗移华州掾与亲故别因出此门有悲往事,行路难·其二,赠别二首·其二,虢国夫人受到皇上的宠恩，大清早就骑马进入了宫门。只嫌脂粉会玷污她的美艳，淡描蛾眉就进去朝见至尊。
16,集灵台·其一,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_a951610b16c3.aspx,"日光斜照集灵台，红树花迎晓露开。
昨夜上皇新授箓，太真含笑入帘来。",奉和中书舍人贾至早朝大明宫,长干行·其一,无题二首·其一,阳光斜照在集灵台上，树上红花一朵朵地迎着晨露绽放。昨夜玄宗刚举行了授箓的道教仪式，杨玉环面带微笑走进帘幕之中。
17,隋宫·乘兴南游不戒严,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_0c472e85a3ad.aspx,"乘兴南游不戒严，九重谁省谏书函。
春风举国裁宫锦，半作障泥半作帆。",长恨歌,隋宫·紫泉宫殿锁烟霞,饯别王十一南游,隋炀帝为南游江都不顾安全，九重宫中有谁理会劝谏书函。春游中全国裁制的绫罗锦缎，一半作御马障泥一半作船帆。
18,隋宫·紫泉宫殿锁烟霞,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_09fd71c77ec7.aspx,"紫泉宫殿锁烟霞，欲取芜城作帝家。
玉玺不缘归日角，锦帆应是到天涯。
于今腐草无萤火，终古垂杨有暮鸦。
地下若逢陈后主，岂宜重问后庭花。",寻西山隐者不遇,隋宫·乘兴南游不戒严,宫词·十二楼中尽晓妆,"长安的殿阁内弥漫着一片烟霞，杨广还想把芜城作为帝王之家。
如果不是李渊得到传国的玉玺，那么他的龙舟还会游遍到天涯。
如今隋朝的宫苑中已不见萤虫，只有低垂的杨柳和归巢的乌鸦。
如果杨广在地下和陈后主相遇，有心欣赏淫逸辱国的后庭花吗？"
19,陇西行四首·其二,陈陶 〔唐代〕,https://www.gushiwen.cn/shiwenv_43c5b73dbd73.aspx,"誓扫匈奴不顾身，五千貂锦丧胡尘。
可怜无定河边骨，犹是春闺梦里人！(春闺 一作：深闺)",闺怨,感遇十二首·其四,行路难·其二,唐军将士誓死横扫匈奴奋不顾身，五千身穿锦袍的精兵战死在胡尘。真可怜呵那无定河边成堆的白骨，还是少妇们春闺里思念的梦中人。
20,阙题,刘眘虚 〔唐代〕,https://www.gushiwen.cn/shiwenv_888beab9cc48.aspx,"道由白云尽，春与青溪长。
时有落花至，远随流水香。
闲门向山路，深柳读书堂。
幽映每白日，清辉照衣裳。",寻南溪常山道人隐居,秋日赴阙题潼关驿楼,题金陵渡,蜿蜒的山路从白云尽处延伸过来，长长的溪水两边都是春天的美景。不时有落花随溪水飘流而至，远远地就可闻到水中的芳香。闲静的荆门面对蜿蜒的山路，读书堂掩藏在茂密的柳树林中。每当阳光穿过柳荫的幽境，清幽的光辉便洒满我的衣裳。
