Poem_Index,Title,Author,URL,Content,A,B,C
1,黄鹤楼送孟浩然之广陵,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_d3f231047aef.aspx,"故人西辞黄鹤楼，烟花三月下扬州。
孤帆远影碧空尽，唯见长江天际流。 (唯 通：惟)",酬张少府,黄鹤楼,赠孟浩然
2,黄鹤楼,崔颢 〔唐代〕,https://www.gushiwen.cn/shiwenv_b0d3f72465ef.aspx,"昔人已乘黄鹤去，此地空余黄鹤楼。
黄鹤一去不复返，白云千载空悠悠。
晴川历历汉阳树，芳草萋萋鹦鹉洲。
日暮乡关何处是？烟波江上使人愁。",送方外上人,黄鹤楼送孟浩然之广陵,登楼
3,鹿柴,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_e9b1a8b4def0.aspx,"空山不见人，但闻人语响。
返景入深林，复照青苔上。",桃源行,夜归鹿门山歌,竹里馆
4,马嵬坡,郑畋 〔唐代〕,https://www.gushiwen.cn/shiwenv_a37f1f8335f9.aspx,"玄宗回马杨妃死，云雨难忘日月新。(难忘 一作：虽忘)
终是圣明天子事，景阳宫井又何人。",长恨歌,送别·下马饮君酒,韦讽录事宅观曹将军画马图
5,饯别王十一南游,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_af61db719e9b.aspx,"望君烟水阔，挥手泪沾巾。
飞鸟没何处，青山空向人。
长江一帆远，落日五湖春。
谁见汀洲上，相思愁白蘋。",送友人,和晋陵陆丞早春游望,利州南渡
6,风雨,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_9fe305a09b2a.aspx,"凄凉宝剑篇，羁泊欲穷年。
黄叶仍风雨，青楼自管弦。
新知遭薄俗，旧好隔良缘。
心断新丰酒，销愁斗几千。",琵琶行,夜雨寄北,无题·飒飒东风细雨来
7,题金陵渡,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_0bd46ccf1b16.aspx,"金陵津渡小山楼，一宿行人自可愁。
潮落夜江斜月里，两三星火是瓜洲。",宣州谢朓楼饯别校书叔云,登金陵凤凰台,金陵酒肆留别
8,题破山寺后禅院,常建 〔唐代〕,https://www.gushiwen.cn/shiwenv_e2890c61279c.aspx,"清晨入古寺，初日照高林。
曲径通幽处，禅房花木深。(曲 一作：竹)
山光悦鸟性，潭影空人心。
万籁此都寂，但余钟磬音。(都寂 一作：俱寂；但余 一作：惟余)",长恨歌,同题仙游观,同从弟南斋玩月忆山阴崔少府
9,题大庾岭北驿,宋之问 〔唐代〕,https://www.gushiwen.cn/shiwenv_f2457a3f0cc0.aspx,"阳月南飞雁，传闻至此回。
我行殊未已，何日复归来。
江静潮初落，林昏瘴不开。
明朝望乡处，应见陇头梅。",长恨歌,秋日赴阙题潼关驿楼,梦李白二首·其一
10,章台夜思,韦庄 〔唐代〕,https://www.gushiwen.cn/shiwenv_885999023597.aspx,"清瑟怨遥夜，绕弦风雨哀。
孤灯闻楚角，残月下章台。
芳草已云暮，故人殊未来。
乡书不可寄，秋雁又南回。",望月怀远,静夜思,长干行·其一
11,韩碑,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_7c8b773e0ca1.aspx,"元和天子神武姿，彼何人哉轩与羲。
誓将上雪列圣耻，坐法宫中朝四夷。
淮西有贼五十载，封狼生貙貙生罴。
不据山河据平地，长戈利矛日可麾。
帝得圣相相曰度，贼斫不死神扶持。
腰悬相印作都统，阴风惨澹天王旗。
愬武古通作牙爪，仪曹外郎载笔随。
行军司马智且勇，十四万众犹虎貔。
入蔡缚贼献太庙，功无与让恩不訾。
帝曰汝度功第一，汝从事愈宜为辞。
愈拜稽首蹈且舞，金石刻画臣能为。
古者世称大手笔，此事不系于职司。
当仁自古有不让，言讫屡颔天子颐。
公退斋戒坐小阁，濡染大笔何淋漓。
点窜《尧典》《舜典》字，涂改《清庙》《生民》诗。
文成破体书在纸，清晨再拜铺丹墀。
表曰臣愈昧死上，咏神圣功书之碑。
碑高三丈字如斗，负以灵鳌蟠以螭。
句奇语重喻者少，谗之天子言其私。
长绳百尺拽碑倒，粗砂大石相磨治。
公之斯文若元气，先时已入人肝脾。
汤盘孔鼎有述作，今无其器存其辞。
呜呼圣王及圣相，相与烜赫流淳熙。
公之斯文不示后，曷与三五相攀追。
愿书万本诵万遍，口角流沫右手胝。
传之七十有二代，以为封禅玉检明堂基。",石鼓歌,寄韩谏议注,庐山谣寄卢侍御虚舟
12,韦讽录事宅观曹将军画马图,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_7c47313a3245.aspx,"国初已来画鞍马，神妙独数江都王。
将军得名三十载，人间又见真乘黄。
曾貌先帝照夜白，龙池十日飞霹雳。
内府殷红玛瑙盘，婕妤传诏才人索。
盘赐将军拜舞归，轻纨细绮相追飞。
贵戚权门得笔迹，始觉屏障生光辉。
昔日太宗拳毛騧，近时郭家狮子花。
今之新图有二马，复令识者久叹嗟。
此皆骑战一敌万，缟素漠漠开风沙。
其余七匹亦殊绝，迥若寒空动烟雪。
霜蹄蹴踏长楸间，马官厮养森成列。
可怜九马争神骏，顾视清高气深稳。
借问苦心爱者谁，后有韦讽前支遁。
忆昔巡幸新丰宫，翠华拂天来向东。
腾骧磊落三万匹，皆与此图筋骨同。
自从献宝朝河宗，无复射蛟江水中。
君不见金粟堆前松柏里，龙媒去尽鸟呼风。",长恨歌,丹青引赠曹将军霸,老将行
13,静夜思,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_c35a60c1a8e2.aspx,"床前明月光，疑是地上霜。
举头望明月，低头思故乡。",望月怀远,章台夜思,凉思
14,青溪,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_3ca53d3dfb52.aspx,"言入黄花川，每逐青溪水。
随山将万转，趣途无百里。
声喧乱石中，色静深松里。
漾漾泛菱荇，澄澄映葭苇。
我心素已闲，清川澹如此。
请留磐石上，垂钓将已矣。(磐石 一作：盘石)",长恨歌,北青萝,韩碑
15,集灵台·其二,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_b7ffdd67f154.aspx,"虢国夫人承主恩，平明骑马入宫门。
却嫌脂粉污颜色，淡扫蛾眉朝至尊。",至德二载甫自京金光门出间道归凤翔乾元初从左拾遗移华州掾与亲故别因出此门有悲往事,行路难·其二,赠别二首·其二
16,集灵台·其一,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_a951610b16c3.aspx,"日光斜照集灵台，红树花迎晓露开。
昨夜上皇新授箓，太真含笑入帘来。",长恨歌,长干行·其一,无题二首·其一
17,隋宫·乘兴南游不戒严,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_0c472e85a3ad.aspx,"乘兴南游不戒严，九重谁省谏书函。
春风举国裁宫锦，半作障泥半作帆。",长恨歌,隋宫·紫泉宫殿锁烟霞,饯别王十一南游
18,隋宫·紫泉宫殿锁烟霞,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_09fd71c77ec7.aspx,"紫泉宫殿锁烟霞，欲取芜城作帝家。
玉玺不缘归日角，锦帆应是到天涯。
于今腐草无萤火，终古垂杨有暮鸦。
地下若逢陈后主，岂宜重问后庭花。",寻西山隐者不遇,隋宫·乘兴南游不戒严,宫词·十二楼中尽晓妆
19,陇西行四首·其二,陈陶 〔唐代〕,https://www.gushiwen.cn/shiwenv_43c5b73dbd73.aspx,"誓扫匈奴不顾身，五千貂锦丧胡尘。
可怜无定河边骨，犹是春闺梦里人！(春闺 一作：深闺)",长恨歌,感遇十二首·其四,行路难·其二
20,阙题,刘眘虚 〔唐代〕,https://www.gushiwen.cn/shiwenv_888beab9cc48.aspx,"道由白云尽，春与青溪长。
时有落花至，远随流水香。
闲门向山路，深柳读书堂。
幽映每白日，清辉照衣裳。",长恨歌,秋日赴阙题潼关驿楼,桃源行
21,阁夜,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_f36d338e1fc5.aspx,"岁暮阴阳催短景，天涯霜雪霁寒宵。
五更鼓角声悲壮，三峡星河影动摇。
野哭千家闻战伐，夷歌数处起渔樵。(千家 一作：几家)
卧龙跃马终黄土，人事音书漫寂寥。(音书 一作：依依)",长恨歌,静夜思,宿府
22,闻官军收河南河北,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_519029b7355c.aspx,"剑外忽传收蓟北，初闻涕泪满衣裳。
却看妻子愁何在，漫卷诗书喜欲狂。
白日放歌须纵酒，青春作伴好还乡。
即从巴峡穿巫峡，便下襄阳向洛阳。",石鱼湖上醉歌,次北固山下,丹青引赠曹将军霸
23,闺怨,王昌龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_bea0a298570b.aspx,"闺中少妇不知愁，春日凝妆上翠楼。(不知 一作：不曾)
忽见陌头杨柳色，悔教夫婿觅封侯。",长恨歌,春宫怨,赠阙下裴舍人
24,问刘十九,白居易 〔唐代〕,https://www.gushiwen.cn/shiwenv_d09fef17613b.aspx,"绿蚁新醅酒，红泥小火炉。
晚来天欲雪，能饮一杯无？",子夜吴歌·春歌,送崔九,九日登望仙台呈刘明府
25,长相思·其二,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_edfc02db5bb3.aspx,"日色欲尽花含烟，月明如素愁不眠。(如素 一作：欲素)
赵瑟初停凤凰柱，蜀琴欲奏鸳鸯弦。
此曲有意无人传，愿随春风寄燕然。
忆君迢迢隔青天。昔时横波目，今作流泪泉。
不信妾肠断，归来看取明镜前。(肠断 一作：断肠)",长恨歌,长干行·其一,春思·燕草如碧丝
