id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
1,2026-01-27T03:02:10.515019,whu,31,男,硕士,遣怀,/home/ubuntu/workspace/image_voting_system/all_images/遣怀_nano.jpg,nano,D,54979,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""e"", ""q2-6"": ""b"", ""q2-7"": ""b"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",92933,147912
2,2026-01-27T03:11:28.784298,luo,29,男,硕士,杂诗三首·其二,/home/ubuntu/workspace/image_voting_system/all_images/杂诗三首·其二_gpt.jpg,gpt,A,175208,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""b"", ""q2-7"": ""d"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",95538,270746
3,2026-01-27T03:25:31.225739,Boning,29,女,博士,咏怀古迹五首·其五,/home/ubuntu/workspace/image_voting_system/all_images/咏怀古迹五首·其五_gpt.jpg,gpt,A,66515,"{""q1-2"": ""b"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""e"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""b""}",177779,244294
4,2026-01-27T03:27:37.558572,whu,31,男,硕士,晚次鄂州,/home/ubuntu/workspace/image_voting_system/all_images/晚次鄂州_nano.jpg,nano,D,1290223,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",236821,1527044
5,2026-01-28T06:17:13.126443,Addison,33,女,硕士,宿桐庐江寄广陵旧游,/home/ubuntu/workspace/image_voting_system/all_images/宿桐庐江寄广陵旧游_seedream.jpg,seedream,C,37779,"{""q1-2"": ""c"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""b"", ""q2-8"": ""d"", ""q2-9"": ""a"", ""q2-10"": ""b""}",94666,132445
6,2026-01-28T06:22:37.671216,Addison,33,女,硕士,春宫曲,/home/ubuntu/workspace/image_voting_system/all_images/春宫曲_nano.jpg,nano,C,213497,"{""q1-2"": ""c"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",111048,324545
7,2026-01-28T06:24:00.341333,Addison,33,女,硕士,清明日宴梅道士房,/home/ubuntu/workspace/image_voting_system/all_images/清明日宴梅道士房_nano.jpg,nano,B,47278,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",35392,82670
8,2026-01-28T06:26:24.902453,Addison,33,女,硕士,已凉,/home/ubuntu/workspace/image_voting_system/all_images/已凉_mj.jpg,mj,C,37432,"{""q1-2"": ""b"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""c""}",107129,144561
9,2026-01-28T06:28:13.296789,Addison,33,女,硕士,次北固山下,/home/ubuntu/workspace/image_voting_system/all_images/次北固山下_nano.jpg,nano,C,69592,"{""q1-2"": ""c"", ""q1-1"": ""A"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",38802,108394
10,2026-01-28T06:29:02.207367,Addison,33,女,硕士,终南山,/home/ubuntu/workspace/image_voting_system/all_images/终南山_nano.jpg,nano,C,22109,"{""q1-2"": ""c"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""a""}",26802,48911
