id,ts,user_id,user_age,user_gender,user_education,poem_title,image_path,image_type,q1_1_right_answer,phase1_response_ms,answers_json,phase2_response_ms,total_response_ms
1,2026-03-01T00:31:31.749993,whu,31,男,硕士,锦瑟,/home/ubuntu/workspace/image_voting_system/all_images/锦瑟_nano.jpg,nano,C,22416,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",82427,104843
2,2026-03-01T00:35:00.732830,whu,31,男,硕士,留别王侍御维,/home/ubuntu/workspace/image_voting_system/all_images/留别王侍御维_nano.jpg,nano,D,153802,"{""q1-2"": ""b"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""b"", ""q2-5"": ""e"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""c""}",55181,208983
3,2026-03-01T00:36:53.328534,whu,31,男,硕士,无题·重帏深下莫愁堂,/home/ubuntu/workspace/image_voting_system/all_images/无题·重帏深下莫愁堂_seedream.jpg,seedream,D,71750,"{""q1-2"": ""a"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""a"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",40846,112596
4,2026-03-01T00:38:20.105091,whu,31,男,硕士,与高适薛据同登慈恩寺浮图,/home/ubuntu/workspace/image_voting_system/all_images/与高适薛据同登慈恩寺浮图_mj.jpg,mj,B,31215,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""d"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-9"": ""c"", ""q2-10"": ""d""}",55561,86776
5,2026-03-01T00:40:49.547024,whu,31,男,硕士,长安遇冯著,/home/ubuntu/workspace/image_voting_system/all_images/长安遇冯著_mj.jpg,mj,C,66080,"{""q1-2"": ""d"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""a"", ""q2-4"": ""d"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""e""}",83362,149442
6,2026-03-01T00:42:16.871290,whu,31,男,硕士,过故人庄,/home/ubuntu/workspace/image_voting_system/all_images/过故人庄_mj.jpg,mj,B,32540,"{""q1-2"": ""c"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""c"", ""q2-4"": ""b"", ""q2-5"": ""b"", ""q2-6"": ""b"", ""q2-7"": ""b"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""c""}",54784,87324
7,2026-03-01T00:58:52.914525,whu,31,男,硕士,韦讽录事宅观曹将军画马图,/home/ubuntu/workspace/image_voting_system/all_images/韦讽录事宅观曹将军画马图_nano.jpg,nano,C,28270,"{""q1-2"": ""a"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""b"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",34182,62452
8,2026-03-01T01:00:11.999533,whu,31,男,硕士,出塞,/home/ubuntu/workspace/image_voting_system/all_images/出塞_mj.jpg,mj,A,44191,"{""q1-2"": ""d"", ""q1-1"": ""B"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""c"", ""q2-5"": ""c"", ""q2-6"": ""d"", ""q2-7"": ""a"", ""q2-8"": ""d"", ""q2-9"": ""a"", ""q2-10"": ""e""}",34894,79085
9,2026-03-01T01:01:50.376103,whu,31,男,硕士,听安万善吹觱篥歌,/home/ubuntu/workspace/image_voting_system/all_images/听安万善吹觱篥歌_seedream.jpg,seedream,C,22173,"{""q1-2"": ""e"", ""q1-1"": ""C"", ""q2-1"": ""a"", ""q2-2"": ""a"", ""q2-3"": ""a"", ""q2-4"": ""a"", ""q2-5"": ""a"", ""q2-6"": ""b"", ""q2-7"": ""a"", ""q2-8"": ""a"", ""q2-9"": ""a"", ""q2-10"": ""b""}",76203,98376
10,2026-03-01T01:03:36.342174,whu,31,男,硕士,赠内人,/home/ubuntu/workspace/image_voting_system/all_images/赠内人_mj.jpg,mj,C,38425,"{""q1-2"": ""d"", ""q1-1"": ""D"", ""q2-1"": ""a"", ""q2-2"": ""b"", ""q2-3"": ""b"", ""q2-4"": ""c"", ""q2-5"": ""c"", ""q2-6"": ""b"", ""q2-7"": ""c"", ""q2-8"": ""a"", ""q2-9"": ""b"", ""q2-10"": ""d""}",67541,105966
