poem_title,image_type,n_ratings,h_total,c_total,score_diff,claude_higher,image_filename
无题·相见时难别亦难,seedream,1,11.0,31.0,20.0,True,无题·相见时难别亦难_seedream.png
新年作,mj,1,8.0,28.0,20.0,True,新年作_mj.png
将进酒,nano,1,10.5,30.0,19.5,True,将进酒_nano.png
金陵图,mj,1,11.5,31.0,19.5,True,金陵图_mj.png
长干曲四首·其二,mj,1,11.0,28.5,17.5,True,长干曲四首·其二_mj.png
登幽州台歌,mj,1,13.0,30.0,17.0,True,登幽州台歌_mj.png
凉州词,nano,1,13.0,30.0,17.0,True,凉州词_nano.png
利州南渡,mj,1,13.0,30.0,17.0,True,利州南渡_mj.png
烈女操,mj,1,10.0,27.0,17.0,True,烈女操_mj.png
征怨,mj,1,27.0,10.5,16.5,False,征怨_mj.png
送李中丞之襄州,mj,1,12.5,28.0,15.5,True,送李中丞之襄州_mj.png
岁暮归南山,mj,1,15.0,30.0,15.0,True,岁暮归南山_mj.png
登楼,seedream,1,35.0,20.0,15.0,False,登楼_seedream.png
与高适薛据同登慈恩寺浮图,mj,1,35.0,20.0,15.0,False,与高适薛据同登慈恩寺浮图_mj.png
春泛若耶溪,mj,2,34.5,20.0,14.5,False,春泛若耶溪_mj.png
送綦毋潜落第还乡,seedream,1,15.5,30.0,14.5,True,送綦毋潜落第还乡_seedream.png
登高,mj,1,14.5,29.0,14.5,True,登高_mj.png
春思·莺啼燕语报新年,gpt,1,15.5,30.0,14.5,True,春思·莺啼燕语报新年_gpt.png
蜀先主庙,mj,1,33.0,19.0,14.0,False,蜀先主庙_mj.png
塞下曲·饮马渡秋水,nano,1,16.0,30.0,14.0,True,塞下曲·饮马渡秋水_nano.png
秋登兰山寄张五,seedream,1,15.0,29.0,14.0,True,秋登兰山寄张五_seedream.png
寄令狐郎中,seedream,1,15.0,29.0,14.0,True,寄令狐郎中_seedream.png
蜀先主庙,nano,1,16.0,30.0,14.0,True,蜀先主庙_nano.png
下终南山过斛斯山人宿置酒,mj,1,34.0,20.0,14.0,False,下终南山过斛斯山人宿置酒_mj.png
后宫词,mj,1,15.0,29.0,14.0,True,后宫词_mj.png
古意,seedream,1,18.0,32.0,14.0,True,古意_seedream.png
月夜·今夜鄜州月,mj,1,15.0,29.0,14.0,True,月夜·今夜鄜州月_mj.png
琴歌,mj,1,34.0,20.0,14.0,False,琴歌_mj.png
归嵩山作,mj,1,33.0,19.5,13.5,False,归嵩山作_mj.png
行路难·其一,nano,1,14.5,28.0,13.5,True,行路难·其一_nano.png
赋得古原草送别,mj,1,15.5,29.0,13.5,True,赋得古原草送别_mj.png
锦瑟,nano,1,14.5,28.0,13.5,True,锦瑟_nano.png
咏怀古迹五首·其四,mj,1,15.5,29.0,13.5,True,咏怀古迹五首·其四_mj.png
洛阳女儿行,mj,1,9.0,22.0,13.0,True,洛阳女儿行_mj.png
宿府,mj,1,14.0,27.0,13.0,True,宿府_mj.png
游子吟,mj,1,13.0,26.0,13.0,True,游子吟_mj.png
梦李白二首·其二,seedream,1,15.0,28.0,13.0,True,梦李白二首·其二_seedream.png
隋宫·紫泉宫殿锁烟霞,seedream,1,32.0,19.0,13.0,False,隋宫·紫泉宫殿锁烟霞_seedream.png
寄韩谏议注,seedream,1,34.0,21.0,13.0,False,寄韩谏议注_seedream.png
春晓,seedream,1,18.0,31.0,13.0,True,春晓_seedream.png
山石,nano,1,18.0,31.0,13.0,True,山石_nano.png
后宫词,seedream,1,20.0,33.0,13.0,True,后宫词_seedream.png
问刘十九,nano,1,18.0,31.0,13.0,True,问刘十九_nano.png
八阵图,gpt,1,18.5,31.0,12.5,True,八阵图_gpt.png
长沙过贾谊宅,mj,1,13.0,25.5,12.5,True,长沙过贾谊宅_mj.png
瑶瑟怨,seedream,1,15.0,27.0,12.0,True,瑶瑟怨_seedream.png
八月十五夜赠张功曹,mj,1,12.5,24.5,12.0,True,八月十五夜赠张功曹_mj.png
隋宫·紫泉宫殿锁烟霞,gpt,1,19.0,31.0,12.0,True,隋宫·紫泉宫殿锁烟霞_gpt.png
宫词·长乐宫连上苑春,nano,1,19.0,31.0,12.0,True,宫词·长乐宫连上苑春_nano.png
同题仙游观,nano,1,18.0,30.0,12.0,True,同题仙游观_nano.png
酬郭给事,seedream,1,18.0,30.0,12.0,True,酬郭给事_seedream.png
回乡偶书,mj,1,35.0,23.0,12.0,False,回乡偶书_mj.png
八阵图,mj,1,12.5,24.0,11.5,True,八阵图_mj.png
同题仙游观,gpt,2,19.5,31.0,11.5,True,同题仙游观_gpt.png
锦瑟,seedream,1,19.0,30.0,11.0,True,锦瑟_seedream.png
赠卫八处士,mj,1,21.0,32.0,11.0,True,赠卫八处士_mj.png
留别王侍御维,nano,1,19.0,30.0,11.0,True,留别王侍御维_nano.png
秋夕,gpt,1,19.0,30.0,11.0,True,秋夕_gpt.png
送灵澈上人,mj,1,22.5,11.5,11.0,False,送灵澈上人_mj.png
赠卫八处士,seedream,1,14.0,25.0,11.0,True,赠卫八处士_seedream.png
赠卫八处士,nano,1,21.0,32.0,11.0,True,赠卫八处士_nano.png
韦讽录事宅观曹将军画马图,seedream,1,34.0,23.0,11.0,False,韦讽录事宅观曹将军画马图_seedream.png
东郊,mj,1,34.0,23.0,11.0,False,东郊_mj.png
听安万善吹觱篥歌,seedream,1,28.0,17.0,11.0,False,听安万善吹觱篥歌_seedream.png
和贾舍人早朝大明宫之作,seedream,1,17.0,28.0,11.0,True,和贾舍人早朝大明宫之作_seedream.png
和贾舍人早朝大明宫之作,mj,1,32.0,21.0,11.0,False,和贾舍人早朝大明宫之作_mj.png
八月十五夜赠张功曹,gpt,1,15.0,26.0,11.0,True,八月十五夜赠张功曹_gpt.png
岁暮归南山,seedream,1,21.0,32.0,11.0,True,岁暮归南山_seedream.png
宿业师山房期丁大不至,mj,1,7.5,18.0,10.5,True,宿业师山房期丁大不至_mj.png
长恨歌,mj,1,19.5,30.0,10.5,True,长恨歌_mj.png
送魏万之京,mj,1,13.5,24.0,10.5,True,送魏万之京_mj.png
过故人庄,mj,1,20.5,31.0,10.5,True,过故人庄_mj.png
