user_id,user_age,user_gender,user_education,user_limit,created_at,seen_titles,seen_paths
*,46,女,大专,,2026-01-30T07:35:49.591320,,
1,50,女,大专,,2026-01-30T05:55:02.512232,,
123,30,男,硕士,,2026-02-03T12:02:45.955220,,
66,31,女,硕士,,2026-01-30T04:21:02.280732,"[""渡汉江"", ""听蜀僧濬弹琴""]",[]
Addison,33,女,硕士,,2026-01-28T06:15:00.681352,"[""清明日宴梅道士房"", ""月夜·今夜鄜州月"", ""宿桐庐江寄广陵旧游""]",[]
Asx,18,男,本科,,2026-01-30T14:03:14.304712,,
Boning,29,女,博士,,2026-01-27T03:21:26.931916,"[""咏怀古迹五首·其五""]",[]
Gassa,39,男,博士,,2026-01-30T05:00:41.777854,,
J,30,女,大专,15,2026-01-30T05:54:34.519732,"[""春宫怨"", ""行宫"", ""早寒江上有怀"", ""赠卫八处士"", ""宫词·长乐宫连上苑春""]",[]
Jessica高大人,31,女,硕士,,2026-01-30T05:42:48.241013,"[""寒食""]",[]
Jones,45,男,本科,,2026-01-30T21:34:57.409099,"[""马嵬坡"", ""集灵台·其一"", ""月夜·更深月色半人家""]",[]
Lee,50,女,本科,,2026-01-30T12:40:47.147260,"[""赠孟浩然""]",[]
Libra,35,女,本科,,2026-01-30T06:35:17.840404,,
Look,50,男,博士,,2026-01-30T14:02:09.989567,,
Luke s,32,女,高中,,2026-01-30T06:32:11.076225,"[""寄韩谏议注"", ""清平调·其一"", ""行路难·其三"", ""咏怀古迹五首·其五"", ""送方外上人"", ""别房太尉墓"", ""早发白帝城"", ""赋得古原草送别"", ""送李少府贬峡中王少府贬长沙""]",[]
MIKE,29,男,小学,,2026-01-30T09:20:09.296788,"[""寄韩谏议注""]",[]
Remus,28,男,博士,,2026-01-30T04:22:29.830317,"[""石鼓歌""]",[]
RemusLi,29,男,博士,,2026-01-30T04:37:37.701766,"[""行经华山"", ""长安遇冯著""]",[]
SL,57,女,大专,30,2026-01-30T09:52:33.624736,"[""旅夜书怀"", ""郡斋雨中与诸文士燕集"", ""长干曲四首·其二"", ""赠阙下裴舍人"", ""无题·飒飒东风细雨来"", ""长恨歌"", ""遣悲怀三首·其一"", ""过香积寺"", ""送灵澈上人"", ""春思·燕草如碧丝"", ""塞下曲·月黑雁飞高"", ""寻西山隐者不遇"", ""古柏行"", ""李端公""]",[]
SY,28,其他,博士,,2026-01-30T09:52:23.809536,"[""灞上秋居""]",[]
Sl,57,女,大专,,2026-02-01T11:45:34.632210,"[""望月怀远"", ""月下独酌·其一"", ""陇西行四首·其二""]",[]
Ss,30,女,本科,,2026-01-30T05:40:05.670910,,
Star-小幸运,38,女,大专,,2026-01-30T05:56:48.507296,"[""夜雨寄北""]",[]
